date_extraction,activite,activite_emprunteur,activite_emprunteur_bus,activite_emprunteur_med,activite_salle_etude,activite_utilisateur_postes_informatiques,activite_utilisateur_wifi,tranches_d_age_1,tranches_d_age_2,roubaisien_ou_non,code_iris_de_roubaix,nom_de_l_iris_a_roubaix,commune_de_residence,inscription_attribut_action,inscription_attribut_zebre,inscription_carte,nombre_d_annees_d_adhesion,type_inscription,nb_venues,nb_venues_postes_informatiques,nb_venues_prets,nb_venues_prets_bus,nb_venues_prets_mediatheque,nb_venues_salle_etude,nb_venues_wifi,sexe,geo_point_2d
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,TOURNAI,,,Médiathèque,3.0,gratuite,2,0,2,0,2,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,15 - 24 ans,Non Roubaisien,,,WASQUEHAL,,,Médiathèque,3.0,gratuite,5,0,5,0,5,0,0,Femme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,MOUSCRON,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque Plus (5 €),2.0,payante,0,0,0,0,0,0,0,Homme,"50.6913285696,3.17220444227"
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120102,FRESNOY,ROUBAIX,,,Médiathèque,2.0,gratuite,6,6,0,0,0,0,0,Homme,"50.6992192099,3.16111509099"
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Non Roubaisien,,,MARQUETTE-LEZ-LILLE,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Homme,
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,2.0,gratuite,7,0,7,0,7,0,0,Femme,"50.6913285696,3.17220444227"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120603,ANSEELE,ROUBAIX,,,Médiathèque,2.0,gratuite,2,0,2,0,2,0,0,Femme,"50.6893401467,3.18056466302"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Non Roubaisien,,,MOUVAUX,,,Médiathèque,2.0,gratuite,7,0,7,0,7,0,0,Femme,
2020,aucune trace,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,<= 14 ans,0 - 14 ans,Roubaisien,595121302,HAUTS CHAMPS,ROUBAIX,,,Médiathèque,2.0,gratuite,0,0,0,0,0,0,0,Homme,"50.6718524781,3.19451321791"
2020,prêt,Emprunteur,Non emprunteur Zèbre,Emprunteur Médiathèque,Non utilisateur Salle d'étude,Non utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,65 ans et plus,Non Roubaisien,,,TOURCOING,,,Médiathèque,2.0,gratuite,1,0,1,0,1,0,0,Femme,
2020,postes,Non emprunteur,Non emprunteur Zèbre,Non emprunteur Médiathèque,Non utilisateur Salle d'étude,Utilisateur postes informatiques,Non utilisateur Wifi,15 ans et plus,25 - 64 ans,Roubaisien,595120601,ESPERANCE CENTRE,ROUBAIX,,,Médiathèque,2.0,gratuite,17,17,0,0,0,0,0,Homme,"50.6913285696,3.17220444227"
